Model,Question_ID,Score,Points,Total Points
Claude Opus,2023O,11.7647,1.1765,10.0
Claude Sonnet 4.5,2023O,70.5882,7.0588,10.0
GPT-4o,2023O,0.0,0.0,10.0
GPT-5,2023O,5.8824,0.5882,10.0
Gemini 2.5 Flash,2023O,17.6471,1.7647,10.0
Gemini 2.5 Pro,2023O,17.6471,1.7647,10.0
Grok,2023O,58.8235,5.8824,10.0
O1,2023O,17.6471,1.7647,10.0
Claude Opus,2023P,5.5556,0.8333,15.0
Claude Sonnet 4.5,2023P,16.6667,2.5,15.0
GPT-4o,2023P,0.0,0.0,15.0
GPT-5,2023P,8.3333,1.25,15.0
Gemini 2.5 Flash,2023P,0.0,0.0,15.0
Gemini 2.5 Pro,2023P,50.0,7.5,15.0
Grok,2023P,0.0,0.0,15.0
O1,2023P,0.0,0.0,15.0
Claude Opus,2023Q,37.5,1.875,5.0
Claude Sonnet 4.5,2023Q,18.75,0.9375,5.0
GPT-4o,2023Q,0.0,0.0,5.0
GPT-5,2023Q,100.0,5.0,5.0
Gemini 2.5 Flash,2023Q,81.25,4.0625,5.0
Gemini 2.5 Pro,2023Q,100.0,5.0,5.0
Grok,2023Q,43.75,2.1875,5.0
O1,2023Q,75.0,3.75,5.0
Claude Opus,2024A,53.3333,5.3333,10.0
Claude Sonnet 4.5,2024A,40.0,4.0,10.0
GPT-4o,2024A,0.0,0.0,10.0
GPT-5,2024A,73.3333,7.3333,10.0
Gemini 2.5 Flash,2024A,80.0,8.0,10.0
Gemini 2.5 Pro,2024A,60.0,6.0,10.0
Grok,2024A,53.3333,5.3333,10.0
O1,2024A,46.6667,4.6667,10.0
Claude Opus,2024B,77.7778,7.7778,10.0
Claude Sonnet 4.5,2024B,66.6667,6.6667,10.0
GPT-4o,2024B,55.5556,5.5556,10.0
GPT-5,2024B,88.8889,8.8889,10.0
Gemini 2.5 Flash,2024B,66.6667,6.6667,10.0
Gemini 2.5 Pro,2024B,88.8889,8.8889,10.0
Grok,2024B,61.1111,6.1111,10.0
O1,2024B,72.2222,7.2222,10.0
Claude Opus,2024C,46.6667,4.6667,10.0
Claude Sonnet 4.5,2024C,46.6667,4.6667,10.0
GPT-4o,2024C,46.6667,4.6667,10.0
GPT-5,2024C,100.0,10.0,10.0
Gemini 2.5 Flash,2024C,80.0,8.0,10.0
Gemini 2.5 Pro,2024C,100.0,10.0,10.0
Grok,2024C,100.0,10.0,10.0
O1,2024C,100.0,10.0,10.0
Claude Opus,2024D,46.1538,9.2308,20.0
Claude Sonnet 4.5,2024D,34.6154,6.9231,20.0
GPT-4o,2024D,11.5385,2.3077,20.0
GPT-5,2024D,88.4615,17.6923,20.0
Gemini 2.5 Flash,2024D,34.6154,6.9231,20.0
Gemini 2.5 Pro,2024D,53.8462,10.7692,20.0
Grok,2024D,69.2308,13.8462,20.0
O1,2024D,19.2308,3.8462,20.0
Claude Opus,2024E,0.0,0.0,10.0
Claude Sonnet 4.5,2024E,50.0,5.0,10.0
GPT-4o,2024E,25.0,2.5,10.0
Gemini 2.5 Flash,2024E,12.5,1.25,10.0
Gemini 2.5 Pro,2024E,25.0,2.5,10.0
Grok,2024E,37.5,3.75,10.0
O1,2024E,25.0,2.5,10.0
Claude Opus,2024F,33.3333,3.3333,10.0
Claude Sonnet 4.5,2024F,33.3333,3.3333,10.0
GPT-4o,2024F,16.6667,1.6667,10.0
GPT-5,2024F,16.6667,1.6667,10.0
Gemini 2.5 Flash,2024F,0.0,0.0,10.0
Gemini 2.5 Pro,2024F,16.6667,1.6667,10.0
Grok,2024F,0.0,0.0,10.0
O1,2024F,16.6667,1.6667,10.0
Claude Opus,2024G,95.0,14.25,15.0
Claude Sonnet 4.5,2024G,60.0,9.0,15.0
GPT-4o,2024G,15.0,2.25,15.0
GPT-5,2024G,90.0,13.5,15.0
Gemini 2.5 Flash,2024G,90.0,13.5,15.0
Gemini 2.5 Pro,2024G,95.0,14.25,15.0
Grok,2024G,75.0,11.25,15.0
O1,2024G,30.0,4.5,15.0
Claude Opus,2024H,20.8333,3.125,15.0
Claude Sonnet 4.5,2024H,33.3333,5.0,15.0
GPT-4o,2024H,0.0,0.0,15.0
GPT-5,2024H,70.8333,10.625,15.0
Gemini 2.5 Flash,2024H,66.6667,10.0,15.0
Gemini 2.5 Pro,2024H,95.8333,14.375,15.0
Grok,2024H,45.8333,6.875,15.0
O1,2024H,29.1667,4.375,15.0
Claude Opus,2024I,50.0,2.5,5.0
Claude Sonnet 4.5,2024I,96.875,4.8438,5.0
GPT-4o,2024I,81.25,4.0625,5.0
GPT-5,2024I,96.875,4.8438,5.0
Gemini 2.5 Flash,2024I,96.875,4.8438,5.0
Gemini 2.5 Pro,2024I,96.875,4.8438,5.0
Grok,2024I,93.75,4.6875,5.0
O1,2024I,96.875,4.8438,5.0
Claude Opus,2024J,18.75,0.9375,5.0
Claude Sonnet 4.5,2024J,56.25,2.8125,5.0
GPT-4o,2024J,15.625,0.7812,5.0
GPT-5,2024J,100.0,5.0,5.0
Gemini 2.5 Flash,2024J,50.0,2.5,5.0
Gemini 2.5 Pro,2024J,75.0,3.75,5.0
Grok,2024J,62.5,3.125,5.0
O1,2024J,65.625,3.2812,5.0
Claude Opus,2024K,80.0,8.0,10.0
Claude Sonnet 4.5,2024K,63.3333,6.3333,10.0
GPT-4o,2024K,86.6667,8.6667,10.0
GPT-5,2024K,96.6667,9.6667,10.0
Gemini 2.5 Flash,2024K,46.6667,4.6667,10.0
Gemini 2.5 Pro,2024K,63.3333,6.3333,10.0
Grok,2024K,33.3333,3.3333,10.0
O1,2024K,56.6667,5.6667,10.0
Claude Opus,2024L,42.8571,6.4286,15.0
Claude Sonnet 4.5,2024L,42.8571,6.4286,15.0
GPT-4o,2024L,0.0,0.0,15.0
GPT-5,2024L,57.1429,8.5714,15.0
Gemini 2.5 Flash,2024L,21.4286,3.2143,15.0
Gemini 2.5 Pro,2024L,35.7143,5.3571,15.0
Grok,2024L,0.0,0.0,15.0
O1,2024L,7.1429,1.0714,15.0
Claude Opus,2024M,6.6667,0.6667,10.0
Claude Sonnet 4.5,2024M,13.3333,1.3333,10.0
GPT-4o,2024M,0.0,0.0,10.0
GPT-5,2024M,6.6667,0.6667,10.0
Gemini 2.5 Flash,2024M,23.3333,2.3333,10.0
Gemini 2.5 Pro,2024M,23.3333,2.3333,10.0
Grok,2024M,3.3333,0.3333,10.0
O1,2024M,10.0,1.0,10.0
Claude Opus,2024N,20.0,2.0,10.0
Claude Sonnet 4.5,2024N,20.0,2.0,10.0
GPT-4o,2024N,0.0,0.0,10.0
GPT-5,2024N,22.5,2.25,10.0
Gemini 2.5 Flash,2024N,20.0,2.0,10.0
Gemini 2.5 Pro,2024N,10.0,1.0,10.0
Grok,2024N,17.5,1.75,10.0
O1,2024N,2.5,0.25,10.0
Claude Opus,2024O,22.2222,3.3333,15.0
Claude Sonnet 4.5,2024O,5.5556,0.8333,15.0
GPT-4o,2024O,11.1111,1.6667,15.0
GPT-5,2024O,58.3333,8.75,15.0
Gemini 2.5 Flash,2024O,30.5556,4.5833,15.0
Gemini 2.5 Pro,2024O,25.0,3.75,15.0
Grok,2024O,16.6667,2.5,15.0
O1,2024O,2.7778,0.4167,15.0
Claude Opus,2024P,38.8889,3.8889,10.0
Claude Sonnet 4.5,2024P,61.1111,6.1111,10.0
GPT-4o,2024P,0.0,0.0,10.0
GPT-5,2024P,55.5556,5.5556,10.0
Gemini 2.5 Flash,2024P,77.7778,7.7778,10.0
Gemini 2.5 Pro,2024P,83.3333,8.3333,10.0
Grok,2024P,5.5556,0.5556,10.0
O1,2024P,0.0,0.0,10.0
Claude Opus,2024Q,9.0909,0.9091,10.0
Claude Sonnet 4.5,2024Q,0.0,0.0,10.0
GPT-4o,2024Q,0.0,0.0,10.0
GPT-5,2024Q,86.3636,8.6364,10.0
Gemini 2.5 Flash,2024Q,40.9091,4.0909,10.0
Gemini 2.5 Pro,2024Q,95.4545,9.5454,10.0
Grok,2024Q,68.1818,6.8182,10.0
O1,2024Q,31.8182,3.1818,10.0
Claude Opus,2024R,29.4118,2.9412,10.0
Claude Sonnet 4.5,2024R,41.1765,4.1177,10.0
GPT-4o,2024R,0.0,0.0,10.0
GPT-5,2024R,58.8235,5.8824,10.0
Gemini 2.5 Flash,2024R,58.8235,5.8824,10.0
Gemini 2.5 Pro,2024R,76.4706,7.6471,10.0
Grok,2024R,26.4706,2.6471,10.0
O1,2024R,14.7059,1.4706,10.0
Claude Opus,2025A,75.0,7.5,10.0
Claude Sonnet 4.5,2025A,58.3333,5.8333,10.0
GPT-4o,2025A,0.0,0.0,10.0
GPT-5,2025A,83.3333,8.3333,10.0
Gemini 2.5 Flash,2025A,66.6667,6.6667,10.0
Gemini 2.5 Pro,2025A,100.0,10.0,10.0
Grok,2025A,8.3333,0.8333,10.0
O1,2025A,33.3333,3.3333,10.0
Claude Opus,2025B,18.1818,1.8182,10.0
Claude Sonnet 4.5,2025B,45.4545,4.5455,10.0
GPT-4o,2025B,0.0,0.0,10.0
GPT-5,2025B,100.0,10.0,10.0
Gemini 2.5 Flash,2025B,18.1818,1.8182,10.0
Gemini 2.5 Pro,2025B,100.0,10.0,10.0
Grok,2025B,9.0909,0.9091,10.0
O1,2025B,9.0909,0.9091,10.0
Claude Opus,2025C,23.5294,3.5294,15.0
Claude Sonnet 4.5,2025C,17.6471,2.6471,15.0
GPT-4o,2025C,5.8824,0.8824,15.0
GPT-5,2025C,100.0,15.0,15.0
Gemini 2.5 Flash,2025C,100.0,15.0,15.0
Gemini 2.5 Pro,2025C,82.3529,12.3529,15.0
Grok,2025C,50.0,7.5,15.0
O1,2025C,29.4118,4.4118,15.0
Claude Opus,2025D,54.5455,5.4546,10.0
Claude Sonnet 4.5,2025D,100.0,10.0,10.0
GPT-4o,2025D,9.0909,0.9091,10.0
GPT-5,2025D,81.8182,8.1818,10.0
Gemini 2.5 Flash,2025D,100.0,10.0,10.0
Gemini 2.5 Pro,2025D,100.0,10.0,10.0
Grok,2025D,90.9091,9.0909,10.0
O1,2025D,18.1818,1.8182,10.0
Claude Opus,2025E,100.0,15.0,15.0
Claude Sonnet 4.5,2025E,71.4286,10.7143,15.0
GPT-4o,2025E,0.0,0.0,15.0
GPT-5,2025E,100.0,15.0,15.0
Gemini 2.5 Flash,2025E,100.0,15.0,15.0
Gemini 2.5 Pro,2025E,100.0,15.0,15.0
Grok,2025E,28.5714,4.2857,15.0
O1,2025E,71.4286,10.7143,15.0
Claude Opus,2025F,43.3333,4.3333,10.0
Claude Sonnet 4.5,2025F,36.6667,3.6667,10.0
GPT-4o,2025F,6.6667,0.6667,10.0
GPT-5,2025F,100.0,10.0,10.0
Gemini 2.5 Flash,2025F,56.6667,5.6667,10.0
Gemini 2.5 Pro,2025F,100.0,10.0,10.0
Grok,2025F,26.6667,2.6667,10.0
O1,2025F,13.3333,1.3333,10.0
Claude Opus,2025G,28.5714,4.2857,15.0
Claude Sonnet 4.5,2025G,32.1429,4.8214,15.0
GPT-4o,2025G,0.0,0.0,15.0
GPT-5,2025G,46.4286,6.9643,15.0
Gemini 2.5 Flash,2025G,50.0,7.5,15.0
Gemini 2.5 Pro,2025G,89.2857,13.3929,15.0
Grok,2025G,25.0,3.75,15.0
O1,2025G,21.4286,3.2143,15.0
Claude Opus,2025H,63.6364,9.5455,15.0
Claude Sonnet 4.5,2025H,63.6364,9.5455,15.0
GPT-4o,2025H,36.3636,5.4545,15.0
GPT-5,2025H,81.8182,12.2727,15.0
Gemini 2.5 Flash,2025H,81.8182,12.2727,15.0
Gemini 2.5 Pro,2025H,81.8182,12.2727,15.0
Grok,2025H,81.8182,12.2727,15.0
O1,2025H,63.6364,9.5455,15.0
Claude Opus,2025I,13.6364,1.3636,10.0
Claude Sonnet 4.5,2025I,22.7273,2.2727,10.0
GPT-4o,2025I,4.5455,0.4545,10.0
GPT-5,2025I,9.0909,0.9091,10.0
Gemini 2.5 Flash,2025I,18.1818,1.8182,10.0
Gemini 2.5 Pro,2025I,27.2727,2.7273,10.0
Grok,2025I,25.0,2.5,10.0
O1,2025I,9.0909,0.9091,10.0
Claude Opus,2025J,0.0,0.0,15.0
Claude Sonnet 4.5,2025J,0.0,0.0,15.0
GPT-4o,2025J,4.5455,0.6818,15.0
GPT-5,2025J,4.5455,0.6818,15.0
Gemini 2.5 Flash,2025J,0.0,0.0,15.0
Gemini 2.5 Pro,2025J,0.0,0.0,15.0
Grok,2025J,0.0,0.0,15.0
O1,2025J,0.0,0.0,15.0
Claude Opus,2025K,15.3846,2.3077,15.0
Claude Sonnet 4.5,2025K,7.6923,1.1538,15.0
GPT-4o,2025K,23.0769,3.4615,15.0
GPT-5,2025K,7.6923,1.1538,15.0
Gemini 2.5 Flash,2025K,38.4615,5.7692,15.0
Gemini 2.5 Pro,2025K,76.9231,11.5385,15.0
Grok,2025K,7.6923,1.1538,15.0
O1,2025K,19.2308,2.8846,15.0
Claude Opus,2025L,0.0,0.0,15.0
Claude Sonnet 4.5,2025L,0.0,0.0,15.0
GPT-4o,2025L,0.0,0.0,15.0
GPT-5,2025L,0.0,0.0,15.0
Gemini 2.5 Flash,2025L,0.0,0.0,15.0
Gemini 2.5 Pro,2025L,0.0,0.0,15.0
Grok,2025L,0.0,0.0,15.0
O1,2025L,0.0,0.0,15.0
Claude Opus,2025M,85.7143,8.5714,10.0
Claude Sonnet 4.5,2025M,85.7143,8.5714,10.0
GPT-4o,2025M,0.0,0.0,10.0
GPT-5,2025M,100.0,10.0,10.0
Gemini 2.5 Flash,2025M,100.0,10.0,10.0
Gemini 2.5 Pro,2025M,100.0,10.0,10.0
Grok,2025M,71.4286,7.1429,10.0
O1,2025M,92.8571,9.2857,10.0
Claude Opus,2025N,9.5238,0.9524,10.0
Claude Sonnet 4.5,2025N,9.5238,0.9524,10.0
GPT-4o,2025N,9.5238,0.9524,10.0
GPT-5,2025N,23.8095,2.3809,10.0
Gemini 2.5 Flash,2025N,4.7619,0.4762,10.0
Gemini 2.5 Pro,2025N,19.0476,1.9048,10.0
Grok,2025N,4.7619,0.4762,10.0
O1,2025N,4.7619,0.4762,10.0
Claude Opus,2025O,23.0769,2.3077,10.0
GPT-4o,2025O,0.0,0.0,10.0
GPT-5,2025O,34.6154,3.4615,10.0
Gemini 2.5 Flash,2025O,30.7692,3.0769,10.0
Gemini 2.5 Pro,2025O,26.9231,2.6923,10.0
Grok,2025O,11.5385,1.1539,10.0
O1,2025O,3.8462,0.3846,10.0
Claude Opus,2025P,16.6667,2.5,15.0
Claude Sonnet 4.5,2025P,0.0,0.0,15.0
GPT-4o,2025P,0.0,0.0,15.0
GPT-5,2025P,41.6667,6.25,15.0
Gemini 2.5 Flash,2025P,25.0,3.75,15.0
Gemini 2.5 Pro,2025P,33.3333,5.0,15.0
Grok,2025P,0.0,0.0,15.0
O1,2025P,8.3333,1.25,15.0
